#MZ SEK INT
694.8274 520 0.1999
792.9045 520 0.0015
812.5604 520 0.0144
859.4243 520 0.0073
884.4043 520 0.0000
904.9869 520 0.0706
1036.4882 520 0.0001
1047.5728 520 0.0088
1065.6164 520 0.5790
1104.5942 520 0.0138
1162.3014 520 0.0005
249.1883 522 0.4575
271.2632 522 0.0104
287.1463 522 0.0003
323.2040 522 0.0854
349.8624 522 0.0020
355.8770 522 0.9213
368.8696 522 0.0265
406.7838 522 0.0022
430.6028 522 0.0854
445.2309 522 0.1883
452.9971 522 0.0042
457.5941 522 0.0136
475.3629 522 0.2237
524.2900 522 0.0020
528.9387 522 0.0092
533.3118 522 0.9213
552.8008 522 0.0265
603.6604 522 0.0042
607.3542 522 0.0000
645.4006 522 0.0854
667.3427 522 0.1883
685.8876 522 0.0136
694.8274 522 0.4803
792.9045 522 0.0092
812.5604 522 0.0022
859.4243 522 0.0003
904.9869 522 0.0042
1047.5728 522 0.0020
1065.6164 522 0.9213
1104.5942 522 0.0265
1162.3014 522 0.0020
249.1883 524 0.8411
271.2632 524 0.0257
287.1463 524 0.0000
323.2040 524 0.2357
349.8624 524 0.0004
355.8770 524 0.9303
368.8696 524 0.0498
406.7838 524 0.0002
430.6028 524 0.2357
445.2309 524 0.0563
452.9971 524 0.0001
457.5941 524 0.1219
475.3629 524 0.2768
524.2900 524 0.0004
528.9387 524 0.0425
533.3118 524 0.9303
552.8008 524 0.0498
603.6604 524 0.0001
645.4006 524 0.2357
667.3427 524 0.0563
685.8876 524 0.1219
694.8274 524 0.8282
792.9045 524 0.0425
812.5604 524 0.0002
859.4243 524 0.0000
904.9869 524 0.0001
1047.5728 524 0.0004
1065.6164 524 0.9303
1104.5942 524 0.0498
1162.3014 524 0.0076
249.1883 526 0.6867
271.2632 526 0.0573
323.2040 526 0.5101
355.8770 526 0.5812
368.8696 526 0.0905
430.6028 526 0.5101
445.2309 526 0.0129
452.9971 526 0.0000
457.5941 526 0.4735
475.3629 526 0.3368
528.9387 526 0.1500
533.3118 526 0.5812
552.8008 526 0.0905
603.6604 526 0.0000
645.4006 526 0.5101
667.3427 526 0.0129
685.8876 526 0.4735
694.8274 526 0.9974
792.9045 526 0.1500
904.9869 526 0.0000
1065.6164 526 0.5812
1104.5942 526 0.0905
1162.3014 526 0.0259
249.1883 528 0.2658
271.2632 528 0.1155
323.2040 528 0.8208
355.8770 528 0.2190
368.8696 528 0.1581
430.6028 528 0.8208
445.2309 528 0.0023
457.5941 528 0.8811
475.3629 528 0.4030
528.9387 528 0.3939
533.3118 528 0.2190
552.8008 528 0.1581
645.4006 528 0.8208
667.3427 528 0.0023
685.8876 528 0.8811
694.8274 528 0.8152
792.9045 528 0.3939
1065.6164 528 0.2190
1104.5942 528 0.1581
1162.3014 528 0.0766
249.1883 530 0.0485
271.2632 530 0.2109
323.2040 530 0.9189
