peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
145	0	380.90696	64036	0.0069	100	-1
146	0	381.21872	161558	0.0064	100	-1
147	0	381.71601	102365	0.0089	100	-1
148	0	383.21941	1383436	0.0061	15.03	46
149	0	383.22944	109468	0.0197	1.19	-1
150	0	383.32343	70607	0.0068	100	-1
151	0	383.72134	754381	0.0061	100	46
152	0	384.19006	84390	0.0066	100	-1
153	0	384.22265	192091	0.0052	100	46
154	0	385.17063	77778	0.0064	100	-1
155	0	385.22796	86852	0.0064	100	-1
156	0	385.24405	310199	0.0059	100	-1
157	0	385.70715	164229	0.0059	100	-1
158	0	386.20904	89501	0.007	100	-1
159	0	386.25166	260039	0.0059	100	357
160	0	386.47497	409685	0.006	100	239
161	0	386.72676	329231	0.0064	100	239
162	0	386.75276	63126	0.0074	100	357
163	0	386.97698	110618	0.0081	100	239
164	0	387.22866	69352	0.0064	100	-1
165	0	387.23789	76068	0.0065	100	239
166	0	387.27122	159623	0.0069	100	-1
167	0	387.74858	94071	0.0078	100	-1
168	0	388.25374	302733	0.0062	100	-1
169	0	389.21026	2500785	0.0061	100	24
170	0	389.22871	187506	0.0048	100	-1
171	0	389.70262	193886	0.0175	1.67	-1
172	0	389.71263	557481	0.0061	4.79	24
173	0	389.72773	72217	0.0087	100	-1
174	0	390.21369	202663	0.0058	100	24
175	0	390.54261	393117	0.0062	100	-1
176	0	391.68757	69340	0.0067	100	-1
177	0	392.21171	214412	0.0069	100	395
178	0	392.25767	239925	0.0066	100	372
179	0	392.56478	178256	0.0065	100	-1
180	0	392.71152	158061	0.0067	100	395
181	0	392.75896	104317	0.0074	100	372
182	0	392.89887	174314	0.0062	100	-1
183	0	393.21279	118422	0.0077	100	395
184	0	393.71028	85574	0.0073	100	395
185	0	393.74525	217517	0.0059	7.3	-1
186	0	393.75703	81588	0.0103	2.74	-1
187	0	394.24855	270490	0.0069	100	346
188	0	394.7515	81420	0.0069	100	346
189	0	395.23043	92807	0.0069	100	-1
190	0	395.56414	198549	0.006	100	-1
191	0	395.8979	123766	0.0079	100	-1
192	0	396.21577	186401	0.0059	100	-1
193	0	396.55903	1346061	0.0065	100	-1
194	0	396.88517	151562	0.0174	1.53	-1
195	0	396.89541	962419	0.007	9.69	-1
196	0	397.21614	465713	0.0068	2.88	-1
197	0	397.22722	256875	0.0186	1.59	-1
198	0	397.55522	123792	0.0076	100	-1
199	0	397.71728	232111	0.0064	100	378
200	0	398.21163	205538	0.0063	100	378
201	0	398.90536	267939	0.0059	100	350
202	0	399.03305	74773	0.0075	100	-1
203	0	399.23918	257157	0.0063	100	350
204	0	399.54042	211841	0.0063	100	398
205	0	399.572	82148	0.0077	100	350
