scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
0,3,280947,502.18282,0.0597,1504.53382,1503.52828,1503.52828,0.0094,100,280947,103062,,0.72297
0,3,278819,476.23136,0.1201,1426.6269,1425.6739,1425.6739,0.0085,100,278819,98798,,0.77022
0,2,278237,940.39243,0.1855,1880.00947,1878.7714,1879.7743,0.0226,100,278237,0,,0
0,2,277764,433.2253,0.1773,863.95206,863.42933,863.42933,0.0069,100,277764,298585,,0.48897
0,2,277734,451.22809,0.0176,900.99167,900.44272,900.44272,0.0072,100,277734,0,,0.7284
0,2,276132,495.80723,0.0414,990.20415,989.601,989.601,0.0083,100,276132,0,,0.9505
0,2,276078,460.71054,0.0177,919.96858,919.40762,919.40762,0.0078,100,276078,0,,0.80382
0,2,275571,428.26044,0.0194,855.02725,854.50742,854.50742,0.0068,100,275571,0,,0.75596
0,2,274877,543.56308,0.1135,1085.7711,1085.11271,1085.11271,0.011,100,274877,0,,0.90611
0,2,274052,541.81844,0.0633,1079.26427,1078.60693,1078.60693,0.0104,100,274052,301460,,0.80942
0,1,270583,404.23449,0.0723,403.47382,403.22776,403.22776,0.0064,6.49,270583,0,1,0.76576
0,2,270490,394.24855,0.0204,786.96344,786.48365,786.48365,0.0069,100,270490,0,1,0.58841
0,5,270410,464.28594,0.2931,2317.89665,2316.39606,2317.39897,0.0077,100,270410,0,,0.88182
0,1,268516,758.37989,0.0754,757.83759,757.37316,757.37316,0.0185,100,268516,173133,1,0.7167
0,3,268032,485.30164,0.1485,1453.86195,1452.88475,1452.88475,0.0092,100,268032,0,,0.91895
0,3,267939,400.23966,0.0676,1194.42423,1193.69589,1193.69589,0.0064,100,267939,82148,,0.31473
0,2,266264,607.8027,0.1,1213.32963,1212.58897,1212.58897,0.0119,100,109267,0,,0.74355
0,1,264166,634.82587,0.0923,634.20362,633.81915,633.81915,0.0119,100,264166,0,1,0.89144
0,1,263289,751.41657,0.1488,750.86392,750.40984,750.40984,0.0164,100,263289,0,1,0.61608
